Local Results,,,,,
Shared Model,Success %,,,,
top_long,47.50%,,,,
top_short,12.50%,,,Macro-Average,41.25%
pant_long,35%,,,,
pant_short,70.00%,,,,
,,,,,
,,,,,
,,,,,
Leaderboard Results,,,,,
Shared Model,Success %,,,,
top_long,21.50%,,,,
top_short,8.50%,,,Macro-Average,34.50%
pant_long,39.50%,,,,
pant_short,68.50%,,,,
,,,,,
,,,,,
Unseen Percentages,Unseen_0,Unseen_1,Average,,
top_long,60.00%,20.00%,40.00%,,
top_short,0.00%,0.00%,0.00%,,
pant_long,50.00%,30.00%,40.00%,,
pant_short,20.00%,60.00%,40.00%,,